sample_id,stage,latency_s,peak_vram_gb,energy_J,is_warmup
58,reranker,0.000705,16.188573,0.091,0
58,nli,3.086742,9.972648,732.767,0
59,image_search,3.787678,15.348945,500.763,0
59,reranker,0.000561,16.188573,0.061,0
59,nli,1.807078,7.150018,356.432,0
60,image_search,2.395752,15.348945,292.633,0
60,reranker,0.000570,16.188573,0.082,0
60,nli,3.092377,9.972648,770.180,0
61,image_search,3.833758,15.348945,505.023,0
61,reranker,0.000576,16.188573,0.076,0
61,nli,3.108481,9.972648,773.536,0
62,image_search,4.117523,15.348945,541.826,0
62,reranker,0.000568,16.188573,0.073,0
62,nli,2.585854,9.972648,608.222,0
63,image_search,3.383327,15.348945,449.258,0
63,reranker,0.000665,16.188573,0.097,0
63,nli,1.425333,4.055414,240.753,0
64,image_search,2.313296,15.348945,285.378,0
64,reranker,0.000488,16.188573,0.074,0
64,nli,2.784056,9.972648,684.842,0
65,image_search,2.336046,15.348945,293.139,0
65,reranker,0.000661,16.188573,0.095,0
65,nli,3.130036,9.972648,779.108,0
66,image_search,2.379259,15.348945,315.501,0
66,reranker,0.000592,16.188573,0.061,0
66,nli,0.949556,3.209210,121.243,0
67,image_search,2.375709,15.348945,318.899,0
67,reranker,0.000471,16.188573,0.072,0
67,nli,0.863109,3.053409,121.299,0
68,image_search,3.180014,15.348945,421.421,0
68,reranker,0.000644,16.188573,0.079,0
68,nli,3.123254,9.972648,769.730,0
69,image_search,3.831331,15.348945,462.936,0
69,reranker,0.000464,16.188573,0.045,0
69,nli,0.496984,1.819803,54.754,0
70,image_search,3.792723,15.348945,498.529,0
70,reranker,0.000486,16.188573,0.029,0
70,nli,0.866726,3.105482,111.543,0
71,image_search,2.936811,15.348945,390.971,0
71,reranker,0.000521,16.188573,0.045,0
71,nli,0.545926,2.014490,60.267,0
72,image_search,2.400000,15.348945,314.927,0
72,reranker,0.000482,16.188573,0.040,0
72,nli,0.631410,2.315532,74.017,0
73,image_search,2.420148,15.348945,296.986,0
73,reranker,0.000549,16.188573,0.038,0
73,nli,1.240168,4.114181,193.508,0
74,image_search,2.380497,15.348945,290.235,0
74,reranker,0.000472,16.188573,0.081,0
74,nli,0.748389,2.485404,85.044,0
75,image_search,5.775524,15.348945,676.601,0
75,reranker,0.000533,16.188573,0.076,0
75,nli,2.310002,9.972648,505.325,0
76,image_search,5.310130,15.348945,674.311,0
76,reranker,0.000578,16.188573,0.080,0
76,nli,0.943819,2.992974,116.215,0
77,image_search,2.855523,15.348945,343.373,0
77,reranker,0.000841,16.188573,0.114,0
77,nli,3.098190,9.972648,760.738,0
78,image_search,2.975337,15.348945,396.200,0
78,reranker,0.000525,16.188573,0.053,0
78,nli,0.964172,2.769442,134.163,0
79,image_search,3.216869,15.348945,432.312,0
79,reranker,0.000541,16.188573,0.046,0
79,nli,3.176132,9.972648,761.006,0
80,image_search,6.389670,15.348945,791.621,0
80,reranker,0.000624,16.188573,0.040,0
80,nli,0.486707,1.607874,51.170,0
81,image_search,3.500399,15.348945,462.887,0
81,reranker,0.000709,16.188573,0.039,0
81,nli,2.343119,9.972648,516.970,0
82,image_search,2.735145,15.348945,332.727,0
82,reranker,0.000554,16.188573,0.053,0
82,nli,2.919565,9.534010,703.059,0
83,image_search,2.409476,15.348945,324.599,0
83,reranker,0.000592,16.188573,0.059,0
83,nli,0.608697,2.285258,70.136,0
84,image_search,2.409471,15.348945,322.562,0
84,reranker,0.000550,16.188573,0.076,0
84,nli,2.862496,9.972648,677.875,0
85,image_search,2.294426,15.348945,277.181,0
85,reranker,0.000647,16.188573,0.113,0
85,nli,3.028467,9.972648,737.910,0
86,image_search,2.468703,15.348945,329.916,0
86,reranker,0.000599,16.188573,0.059,0
86,nli,2.426376,9.972648,533.203,0
87,image_search,4.303115,15.348945,507.282,0
87,reranker,0.000553,16.188573,0.048,0
87,nli,2.278385,9.972648,499.073,0
88,image_search,4.137371,15.348945,490.360,0
88,reranker,0.000695,16.188573,0.078,0
88,nli,2.935429,9.972648,719.607,0
89,image_search,2.618064,15.348945,351.263,0
89,reranker,0.000573,16.188573,0.028,0
89,nli,0.841582,3.433408,116.746,0
90,image_search,2.345628,15.348945,310.182,0
90,reranker,0.000834,16.188573,0.147,0
90,nli,2.584726,8.698873,630.601,0
91,image_search,2.291236,15.348945,278.224,0
91,reranker,0.000565,16.188573,0.038,0
91,nli,3.678200,9.972648,855.506,0
92,image_search,2.432134,15.348945,324.823,0
92,reranker,0.000500,16.188573,0.037,0
92,nli,2.504520,9.972648,539.274,0
93,image_search,3.532054,15.348945,469.503,0
93,reranker,0.000486,16.188573,0.038,0
93,nli,3.218700,9.972648,795.724,0
94,image_search,4.367831,15.348945,514.889,0
94,reranker,0.000486,16.188573,0.076,0
94,nli,3.083762,9.972648,767.264,0
95,image_search,3.420253,15.348945,445.884,0
95,reranker,0.000638,16.188573,0.049,0
95,nli,2.424083,9.972648,536.553,0
96,image_search,2.398820,15.348945,319.578,0
96,reranker,0.000480,16.188573,0.042,0
96,nli,2.356276,9.972648,530.894,0
97,image_search,2.415708,15.348945,327.060,0
97,reranker,0.001039,16.188573,0.077,0
97,nli,3.115911,9.972648,768.057,0
98,image_search,2.392173,15.348945,317.853,0
98,reranker,0.000484,16.188573,0.073,0
98,nli,2.083872,6.756350,434.528,0
99,image_search,2.369705,15.348945,294.222,0
99,reranker,0.000525,16.188573,0.074,0
99,nli,1.435819,4.973931,245.072,0
100,image_search,2.627488,15.348945,354.220,0
100,reranker,0.000447,16.188573,0.068,0
100,nli,1.829932,5.674977,385.691,0
101,image_search,3.298019,15.348945,438.566,0
101,reranker,0.000456,16.188573,0.068,0
101,nli,0.759464,2.518841,94.995,0
102,image_search,3.013178,15.348945,404.565,0
102,reranker,0.000521,16.188573,0.070,0
102,nli,3.336090,9.972648,828.186,0
103,image_search,3.534646,15.348945,465.547,0
103,reranker,0.000441,16.188573,0.025,0
103,nli,0.771252,2.745016,95.259,0
104,image_search,2.963380,15.348945,394.873,0
104,reranker,0.000603,16.188573,0.073,0
104,nli,2.516576,9.972648,564.476,0
105,image_search,2.816392,15.348945,373.081,0
105,reranker,0.000669,16.188573,0.087,0
105,nli,3.008027,9.972648,743.839,0
106,image_search,2.345674,15.348945,310.706,0
106,reranker,0.000603,16.188573,0.047,0
106,nli,3.141753,9.972648,791.604,0
107,image_search,2.354049,15.348945,294.612,0
107,reranker,0.000953,16.188573,0.065,0
107,nli,3.225847,9.972648,790.974,0
108,image_search,2.341931,15.348945,285.337,0
108,reranker,0.000733,16.188573,0.101,0
108,nli,0.749751,2.309090,82.762,0
109,image_search,2.352419,15.348945,283.577,0
109,reranker,0.000484,16.188573,0.080,0
109,nli,3.177961,9.972648,781.851,0
110,image_search,2.297715,15.348945,280.002,0
110,reranker,0.000549,16.188573,0.091,0
110,nli,1.098681,3.572298,158.839,0
111,image_search,2.314101,15.348945,286.048,0
111,reranker,0.000540,16.188573,0.062,0
111,nli,2.157101,6.743981,451.963,0
112,image_search,3.710047,15.348945,444.792,0
112,reranker,0.000562,16.188573,0.104,0
112,nli,2.326354,6.232612,540.608,0
113,image_search,3.776666,15.348945,447.986,0
113,reranker,0.000524,16.188573,0.061,0
113,nli,1.179145,3.801738,172.833,0
